,Title,Matched Model,Price,Location,Description,Link,Year,Brightness,ResResolution,Contrast,Technology,Audible Noise,Brightness_number,Resolution_width,Contrast_number
11,"LG PW700 mobiler LED-Beamer voll funktionstüchtig, ohne Netzteil",LG PW1000,120,12681 Marzahn,"Ich verkaufe hier : 1 x LG PW700-Mobiler LED Beamer, WXGA HD Auflösung, 700 ANSI Lumen, 100.000:1...",https://www.kleinanzeigen.de//s-anzeige/lg-pw700-mobiler-led-beamer-voll-funktionstuechtig-ohne-netzteil/2607692844-175-3380,2016-05-01 00:00:00,"1,000 lumens",1280x800 (WXGA),"100,000:1",DLP,,1000,1280,100000.0
196,BenQ W703d Beamer,BenQ W7000,200,12689 Marzahn,"Biete BenQ Beamer an … Daten bitte den Bildern entnehmen , wird nicht mehr benötigt und zum...",https://www.kleinanzeigen.de//s-anzeige/benq-w703d-beamer/2583768318-175-3383,2011-12-01 00:00:00,"2,000 lumens",1920x1080 (HD),"50,000:1",DLP,"33, 28",2000,1920,50000.0
0,"Beamer: Optoma EH461 Projektor für Kino, Gaming & Business",Optoma EH460ST,399,12555 Köpenick,Ich verkaufe meinen fast neuen Optoma EH461 Projektor – perfekt für Heimkino und Gaming. Er bietet...,https://www.kleinanzeigen.de//s-anzeige/beamer-optoma-eh461-projektor-fuer-kino-gaming-business/2602324657-175-3365,2017-12-01 00:00:00,"4,200 lumens",1920x1080 (HD),"20,000:1",2 cmDLP,"37, 31",4200,1920,20000.0
201,Beamer Acer P1276,Acer P1273,200,10827 Schöneberg,"Kaum benutzter Beamer mit ganz gutem Bild.

Kein Versand, nur Selbstabholende.",https://www.kleinanzeigen.de//s-anzeige/beamer-acer-p1276/2582839875-175-3447,2013-08-01 00:00:00,"3,000 lumens",1024x768 (XGA),"17,000:1",DLP,"32, 30",3000,1024,17000.0
103,Beamer / Projektor Mitsubishi HC5500,Mitsubishi HC5500,200,10435 Prenzlauer Berg,"Voll funktionstüchtig.
Nur Abholung, Nähe U Bernauer, Berlin",https://www.kleinanzeigen.de//s-anzeige/beamer-projektor-mitsubishi-hc5500/2598500051-175-3489,Jul 2008,"1,200 lumens",1920x1080 (HD),"14,000:1",2 cm3LCD,,1200,1920,14000.0
361,Acer X113 Beamer DLP SVGA,Acer X113PH,40,12055 Neukölln,"Acer X113 Beamer
gebraucht, funktionstüchtig
mit Netzkabel

Versand oder Abholung in Berlin

2800...",https://www.kleinanzeigen.de//s-anzeige/acer-x113-beamer-dlp-svga/2510723229-175-3392,2015-05-01 00:00:00,"3,000 lumens",800x600 (SVGA),"13,000:1",DLP,"31, 28",3000,800,13000.0
105,BenQ W750 HD Beamer,BenQ W750,180,12527 Köpenick,"Bildqualität

Durch die Verwendung der DLP-Technologie lässt sich grundsätzlich sagen, dass...",https://www.kleinanzeigen.de//s-anzeige/benq-w750-hd-beamer/2598309095-175-3370,Dec 2013,"2,500 lumens",1280x720 (HD),"13,000:1",DLP,"34, 30",2500,1280,13000.0
312,Beamer NEC M260X,NEC M283X,140,14199 Wilmersdorf,Verkaufe diesen Beamer hier mit einer zusätzlichen neuem Projektorlampe.,https://www.kleinanzeigen.de//s-anzeige/beamer-nec-m260x/2554921501-168-3541,2015-08-01 00:00:00,"2,800 lumens",1024x768 (XGA),"10,000:1",1 cmDLP,"31, 27",2800,1024,10000.0
282,Heimkino Beamer BenQ W1300,BenQ W1300,250,12207 Lichterfelde,"Ich verkaufe hier meinen Beamer voll funktionsfähig und in sehr gutem Zustand, weil ich ihn in der...",https://www.kleinanzeigen.de//s-anzeige/heimkino-beamer-benq-w1300/2561661632-175-25900,Dec 2013,"2,000 lumens",1920x1080 (HD),"10,000:1",DLP,,2000,1920,10000.0
318,Full-HD Beamer Heimkino BenQ W1070,BenQ W1070,195,12437 Treptow,"Full-HD Beamer Heimkino BenQ W1070
2.000 AnsiLumen
Kontrast 10.000:1
1920x1080
Scharfe Bilder in...",https://www.kleinanzeigen.de//s-anzeige/full-hd-beamer-heimkino-benq-w1070/2553478977-175-3481,Nov 2012,"2,000 lumens",1920x1080 (HD),"10,000:1",DLP,"33, 30",2000,1920,10000.0
